idx	input	gold	vanilla_pred	attn_pred
2473	pravatti	प्रवत्ति	प्रवत्ती	प्रवत्ति
2484	prahlad	प्रहलाद	प्रहल्द	प्रहलाद
2495	pran	प्राण	प्रण	प्राण
2513	premlata	प्रेमलता	प्रेमलाता	प्रेमलता
2522	propellant	प्रोपेलेंट	प्रोलेंपल	प्रोपेलेंट
2533	fatane	फटने	फाटने	फटने
2538	fatehgadh	फतेहगढ़	फतेहागढ़	फतेहगढ़
2539	fatehgarh	फतेहगढ़	फतहगढ़	फतेहगढ़
2540	fabti	फब्ती	फाबती	फब्ती
2546	farhin	फरहीन	फरहीं	फरहीन
2565	phalitartha	फलितार्थ	फलितर्थ	फलितार्थ
2567	falibhut	फलीभूत	फलिभूत	फलीभूत
2568	phalibhoot	फलीभूत	फलिभूत	फलीभूत
2588	farmic	फार्मिक	फर्मिक	फार्मिक
2605	fulae	फुलाए	फूलाए	फुलाए
2613	fefada	फेफड़ा	फेफडा	फेफड़ा
2618	failkar	फैलकर	फैलाकर	फैलकर
2641	francisca	फ्रांसिस्का	फ्रेंसिक्स	फ्रांसिस्का
2644	francisco	फ्रांसिस्को	फ्रेंसिस्को	फ्रांसिस्को
2646	fransisko	फ्रांसिस्को	फ्रांसिसोक	फ्रांसिस्को
2648	friendship	फ्रेंडशिप	फ्रेंडिश्प	फ्रेंडशिप
2651	flynn	फ्लिन	फ्लाइन	फ्लिन
2656	bangbhang	बंगभंग	बांभगंग	बंगभंग
2660	bantne	बंटने	बांटने	बंटने
2661	bandhati	बंधती	बंधाती	बंधती
2662	bandhti	बंधती	बांधती	बंधती
2672	baksi	बक्सी	बकसी	बक्सी
2697	batlaae	बतलाए	बतलाई	बतलाए
2699	batlae	बतलाए	बतलाई	बतलाए
2714	barpaayaa	बरपाया	बर्पाया	बरपाया
2715	barpaya	बरपाया	बर्पया	बरपाया
2720	barhad	बरहद	बारहद	बरहद
2738	bahroopiya	बहरूपिया	बहरूपीय	बहरूपिया
2747	bahuchara	बहुचरा	बहुचारा	बहुचरा
2766	bagiyon	बागियों	बगियों	बागियों
2779	badhaon	बाधाओं	बढ़ाओं	बाधाओं
2793	barah	बारह	बाराह	बारह
2799	bala	बाला	बला	बाला
2807	baawaraa	बावरा	बावारा	बावरा
2808	bavra	बावरा	बवरा	बावरा
2809	bawara	बावरा	बवारा	बावरा
2810	baahulya	बाहुल्य	बहुल्य	बाहुल्य
2814	bikherati	बिखेरती	बिखरते	बिखेरती
2815	bikherti	बिखेरती	बिखरते	बिखेरती
2825	billa	बिल्ला	बिला	बिल्ला
2826	billaa	बिल्ला	बिलाला	बिल्ला
2842	birganj	बीरगंज	बिरगंज	बीरगंज
2860	bechakar	बेचकर	बेचाकर	बेचकर
2878	basil	बेसिल	बसील	बेसिल
2883	baithate	बैठते	बैठाते	बैठते
2893	ballistic	बैलिस्टिक	बल्लिस्टिक	बैलिस्टिक
2925	brigton	ब्रिगटन	ब्रिगटों	ब्रिगटन
2927	britain	ब्रिटेन	ब्रिटें	ब्रिटेन
2931	broke	ब्रोक	ब्रॉक	ब्रोक
2935	blossom	ब्लॉसम	ब्लॉस	ब्लॉसम
2944	bhabhoot	भभूत	भाभूत	भभूत
2974	bhishm	भीष्म	भिष्म	भीष्म
2993	bhulata	भूलता	भुलाता	भूलता
2995	bhulta	भूलता	भुलता	भूलता
3006	bhengapan	भेंगापन	भेंगपान	भेंगापन
3013	bholu	भोलू	भूलो	भोलू
3023	bhraantiyan	भ्रांतियां	भारांतियां	भ्रांतियां
3025	bhraantiyon	भ्रांतियों	भारांतियों	भ्रांतियों
3027	mangesh	मंगेश	मैंगेश	मंगेश
3034	manjil	मंजिल	मंजील	मंजिल
3036	manjila	मंजिला	मंजीला	मंजिला
3037	manzila	मंजिला	मंजीला	मंजिला
3038	manjilein	मंजिलें	मंजलीन	मंजिलें
3039	manjilen	मंजिलें	मंजीलें	मंजिलें
3040	manzilein	मंजिलें	मंजलीन	मंजिलें
3045	makhdumpur	मखदुमपुर	मधकुमदप	मखदुमपुर
3046	machaaye	मचाए	मचाये	मचाए
3047	machae	मचाए	मचाई	मचाए
3048	machaye	मचाए	मचाये	मचाए
3051	machano	मचानों	मचानो	मचानों
3057	matpatron	मतपत्रों	मातपत्रों	मतपत्रों
3065	manae	मनाए	मनाई	मनाए
3067	mnaey	मनाए	मनाई	मनाए
3086	maryaadaaon	मर्यादाओं	मर्यदाओं	मर्यादाओं
3087	maryadaon	मर्यादाओं	मर्यदाओं	मर्यादाओं
3093	masaledaar	मसालेदार	मसेलेदार	मसालेदार
3094	masaledar	मसालेदार	मसेलेदर	मसालेदार
3111	mahantam	महानतम	महंतम	महानतम
3113	mahanideshak	महानिदेशक	महानेदिक्ष	महानिदेशक
3115	mhanideshak	महानिदेशक	महानेदिक्ष	महानिदेशक
3116	mahapauron	महापौरों	महापुरों	महापौरों
3117	mhapauron	महापौरों	महापूरों	महापौरों
3128	mahavishnu	महाविष्णु	महाविषण	महाविष्णु
3130	mahasinh	महासिंह	महासिनह	महासिंह
3141	mangi	मांगी	मंगी	मांगी
3146	maajin	माजिन	माजीन	माजिन
3149	mathey	माथे	मैथी	माथे
3154	mamuli	मामूली	ममूली	मामूली
3166	malish	मालिश	मालिष	मालिश
3171	mass	मास	मैस	मास
3181	mithya	मिथ्या	मिथ्य	मिथ्या
3191	mukhopadhyaya	मुखोपाध्याय	मुखोपायध्य	मुखोपाध्याय
3194	munaf	मुनाफ	मूनफ	मुनाफ
3197	mufalisi	मुफलिसी	मुफालिसी	मुफलिसी
3207	mooth	मूठ	मूथ	मूठ
3212	moody	मूडी	मूद्य	मूडी
3225	megapixal	मेगापिक्सल	मैगेप्सिल	मेगापिक्सल
3282	maisore	मैसोर	मैसोरे	मैसोर
3286	modern	मॉडर्न	मॉडरन	मॉडर्न
3290	mauritious	मॉरिशस	मॉरिशयस	मॉरिशस
3293	mowgli	मोगली	मॉग्ली	मोगली
3294	motive	मोटिव	मोटीव	मोटिव
3295	mol	मोल	मॉल	मोल
3296	mold	मोल्ड	मॉल्ड	मोल्ड
3310	maulaviyon	मौलवियों	मौलावियों	मौलवियों
3312	maulviyon	मौलवियों	मॉलवियों	मौलवियों
3332	yatraein	यात्राएं	यातारें	यात्राएं
3334	yaariyan	यारियां	यारियन	यारियां
3341	yudhrat	युद्धरत	युद्धारत	युद्धरत
3345	yorker	यॉर्कर	योर्कर	यॉर्कर
3346	yojanaein	योजनाएं	योजनाई	योजनाएं
3360	raghuram	रघुराम	रघुरम	रघुराम
3364	runners	रनर्स	रनर्नस	रनर्स
3375	rasayanika	रसायनिक	रसायनिका	रसायनिक
3387	raakhe	राखे	रखे	राखे
3390	ragon	रागों	रगों	रागों
3392	raaj	राज	राज़	राज
3401	raajasva	राजस्व	राजस्वा	राजस्व
3402	rajasva	राजस्व	राजस्वा	राजस्व
3413	radhe	राधे	राढ़े	राधे
3417	rabha	राभा	रभा	राभा
3428	ravaley	रावले	रवाले	रावले
3430	rasayanik	रासायनिक	रसायनिक	रासायनिक
3445	risane	रिसने	रिसाने	रिसने
3446	risaney	रिसने	रिसाने	रिसने
3461	rugan	रुग्ण	रूग्ण	रुग्ण
3483	routes	रूट्स	राउट्स	रूट्स
3484	roopak	रूपक	रुपक	रूपक
3510	racketier	रैकेटियर	राकेटीर	रैकेटियर
3523	rotation	रोटेशन	रोटोइं	रोटेशन
3538	raubadaar	रौबदार	रौबादार	रौबदार
3542	langada	लंगड़ा	लंगदा	लंगड़ा
3543	langda	लंगड़ा	लंगदा	लंगड़ा
3548	lakeer	लकीर	लाकीर	लकीर
3550	lakiron	लकीरों	लाकीरों	लकीरों
3551	lakme	लक्मे	लकमे	लक्मे
3557	lux	लक्स	लुक्स	लक्स
3558	laksar	लक्सर	लकसर	लक्सर
3559	luxor	लक्सर	लुक्सर	लक्सर
3572	ladai	लड़ाई	लाड़ाई	लड़ाई
3578	labada	लबादा	लाबड़ा	लबादा
3579	lbada	लबादा	लबदा	लबादा
3591	lehna	लहना	लेहना	लहना
3592	lahraee	लहराई	लहराए	लहराई
3598	lahsun	लहसुन	लहसून	लहसुन
3606	laegi	लाएगी	लागी	लाएगी
3618	lingbhed	लिंगभेद	लिंग्भेद	लिंगभेद
3642	lootmar	लूटमार	लूटमर	लूटमार
3657	lemon	लेमन	लेमोन	लेमन
3663	lanset	लैंसेट	लांसेट	लैंसेट
3665	lairi	लैरी	लाइरी	लैरी
3666	lairy	लैरी	लेरी	लैरी
3667	larry	लैरी	लारी	लैरी
3671	laundry	लॉन्ड्री	लांड्री	लॉन्ड्री
3677	lochdar	लोचदार	लोचड़ार	लोचदार
3685	vanshavad	वंशवाद	वंशावद	वंशवाद
3700	varnit	वर्णित	वर्णीत	वर्णित
3701	vartamaan	वर्तमान	वार्तमान	वर्तमान
3702	vartaman	वर्तमान	वार्तमान	वर्तमान
3703	vartmaan	वर्तमान	वार्तमान	वर्तमान
3726	vise	वाइज	वाइस	वाइज
3737	vatanukulan	वातानुकूलन	वातानुकालून	वातानुकूलन
3748	wirerless	वायरलेस	वायरलेस्स	वायरलेस
3760	vikalpon	विकल्पों	विकलपों	विकल्पों
3781	vidhansabhaein	विधानसभाएं	विधानसभाई	विधानसभाएं
3782	vidhansabhaen	विधानसभाएं	विधानसभाने	विधानसभाएं
3795	vibhram	विभ्रम	विभर्म	विभ्रम
3796	vibhrm	विभ्रम	विभर्म	विभ्रम
3815	vishwasaniyata	विश्वसनीयता	विश्वनसीयता	विश्वसनीयता
3821	vlc	वीएलसी	वीएसली	वीएलसी
3840	veronika	वेरोनिका	वरोनिका	वेरोनिका
3841	weronika	वेरोनिका	वरोनिका	वेरोनिका
3844	welder	वेल्डर	वेलर्ड	वेल्डर
3864	vaitravati	वैत्रवती	वैत्रवाती	वैत्रवती
3865	vaitrawati	वैत्रवती	वैत्रवाती	वैत्रवती
3871	vaishakh	वैशाख	वैषाख	वैशाख
3872	vaishaakhi	वैशाखी	वैषाक्ध	वैशाखी
3880	vyabhichar	व्यभिचार	व्यभीचार	व्यभिचार
3896	shbana	शबाना	शबना	शबाना
3902	shmil	शमिल	श्मिल	शमिल
3924	shavkon	शावकों	शवकों	शावकों
3941	shubhankar	शुभंकर	शुभंकार	शुभंकर
3943	shumali	शुमाली	शुमली	शुमाली
3952	shaishav	शैशव	शैष्व	शैशव
3965	shrikar	श्रीकर	श्रीकार	श्रीकर
3966	shrikhand	श्रीखंड	श्रीखंद	श्रीखंड
3967	shrimati	श्रीमति	श्रीमती	श्रीमति
3968	shriram	श्रीराम	श्रीरम	श्रीराम
3982	sanchalnon	संचालनों	संचलनों	संचालनों
3988	sandarbha	संदर्भ	संदर्भा	संदर्भ
3990	sandarbhon	संदर्भों	संदरभों	संदर्भों
4010	sanyogvash	संयोगवश	संयोग्वाश	संयोगवश
4014	samvedikaran	संवेदीकरण	संवेदकीनर	संवेदीकरण
4015	sanvedikaran	संवेदीकरण	संवेदिकारण	संवेदीकरण
4019	sanskaar	संस्कार	संसकार	संस्कार
4021	sanskaari	संस्कारी	संसकारी	संस्कारी
4022	sanskari	संस्कारी	संसकारी	संस्कारी
4027	sanskritiyon	संस्कृतियों	संस्तृकियों	संस्कृतियों
4036	suction	सक्शन	सस्चिन	सक्शन
4038	sachhidanand	सच्चिदानंद	सचिधांदन	सच्चिदानंद
4042	satpal	सतपाल	सत्पल	सतपाल
4061	saptkraanti	सप्तक्रांति	सप्तकृंति	सप्तक्रांति
4069	submission	सबमिशन	सबमिंसिन	सबमिशन
4082	samnvyak	समन्वयक	सामन्वयक	समन्वयक
4107	sarahind	सरहिंद	सराहिंद	सरहिंद
4168	singaar	सिंगार	सिंगर	सिंगार
4182	cigaretton	सिगरेटों	सिगेटरों	सिगरेटों
4193	sim	सिम	सीम	सिम
4195	simatataa	सिमटता	सीमताता	सिमटता
4197	simtata	सिमटता	सीमताता	सिमटता
4198	simtataa	सिमटता	सीमताता	सिमटता
4201	simi	सिमी	सीमी	सिमी
4204	siyasi	सियासी	सीयसी	सियासी
4205	siyah	सियाह	सीयह	सियाह
4213	csi	सीएसआई	सीसीई	सीएसआई
4223	sealed	सील्ड	सीलेड	सील्ड
4226	sugamata	सुगमता	सुगामता	सुगमता
4240	sudhargrih	सुधारगृह	सुधारग्रीह	सुधारगृह
4246	suneeti	सुनीति	सुनीती	सुनीति
4251	supachy	सुपाच्य	सुपच्य	सुपाच्य
4252	supachya	सुपाच्य	सुपच्य	सुपाच्य
4253	supachye	सुपाच्य	सुपचाय	सुपाच्य
4267	susanskrit	सुसंस्कृत	सुसंस्रक्ति	सुसंस्कृत
4268	susanskrut	सुसंस्कृत	सुसनस्रुक्त	सुसंस्कृत
4269	suhagin	सुहागिन	सुहागीन	सुहागिन
4294	seti	सेटी	सेती	सेटी
4295	seto	सेटो	सीतो	सेटो
4322	solitaire	सोलिटेयर	सोलीटेर	सोलिटेयर
4340	skhalan	स्खलन	क्षलान	स्खलन
4388	slash	स्लैश	स्लेश	स्लैश
4396	swiftlate	स्विफ्टलेट	स्विफलते	स्विफ्टलेट
4400	sweet	स्वीट	स्वीत	स्वीट
4410	hundiya	हंडिया	हुंडिया	हंडिया
4412	haqeeqat	हकीकत	हकीता	हकीकत
4418	humlavar	हमलावर	हुलमावर	हमलावर
4426	haraval	हरावल	हरवाल	हरावल
4427	harawal	हरावल	हरवाल	हरावल
4433	halla	हल्ला	हलाला	हल्ला
4434	hawamahal	हवामहल	हवामहाल	हवामहल
4441	haanfte	हांफते	हांफेट	हांफते
4445	hymen	हाइमन	हामेन	हाइमन
4447	haani	हानी	हानि	हानी
4448	hani	हानी	हानि	हानी
4449	haarjeet	हारजीत	हरजीत	हारजीत
4454	haalchaal	हालचाल	हालचल	हालचाल
4479	hooper	हूपर	हाउपर	हूपर
4482	hegde	हेगडे	हेगड़े	हेगडे
4498	hoshangabaad	होशंगाबाद	होशनगाबाद	होशंगाबाद
4499	hoshangabad	होशंगाबाद	होशनगाबाद	होशंगाबाद
4501	hostess	होस्टेस	हॉस्टेस्ट	होस्टेस
